track_id,track_name,artists,track_genre,vibe,popularity,danceability,energy,valence,tempo,acousticness,speechiness,liveness,instrumentalness,loudness,duration_min
0XYII36wtmhxTApoDYq8GA,Les Drums - TBY Remix,2 Best Enemies,hardstyle,Instrumental,22,0.743,0.682,0.0667,148.001,0.0054,0.142,0.0423,0.868,-5.925,6.316
6RbJ6SXAiOHK3IlgRzKCJ5,Racist Room-Check,Craig Shoemaker,comedy,Acoustic & Mellow,22,0.479,0.976,0.391,126.727,0.892,0.595,0.756,0.0,-3.143,3.882
4CKddvnUs8qmE2ymL7Q33L,From A Georgia Battlefield,Balsam Range,bluegrass,Acoustic & Mellow,22,0.497,0.409,0.386,78.825,0.852,0.029,0.077,0.0,-7.755,4.952
3myGeeoXQo3JNGm6hu3W0F,Chains,The Wolfgang Press,goth,Instrumental,22,0.594,0.845,0.618,109.296,0.0024,0.0276,0.272,0.52,-7.713,4.973
7u9TVTUA8uMjoZzTFThl4u,My Old Heart,Stephen Lynch,comedy,Acoustic & Mellow,22,0.668,0.203,0.217,138.812,0.889,0.0298,0.104,0.00025,-10.825,5.241
18mERoj7u9U81v4i34fewL,Pure - Original Edit,Zany,hardstyle,Energetic & Danceable,22,0.609,0.567,0.0658,145.079,0.000446,0.0726,0.196,0.0274,-8.179,3.551
5drzYozxplwXw3sqSZTuFY,APEX - Combining Forces,Cryex;Qriminal;Ressurectz;Vasto;Scarra;MC Synergy,hardstyle,Energetic & Danceable,22,0.548,0.859,0.262,154.925,0.101,0.261,0.407,7.2e-06,-5.447,4.699
0eal3cEeHVC9UqEaW6OoIc,Bed Pan Man,Tim Wilson,comedy,Acoustic & Mellow,22,0.506,0.948,0.965,98.837,0.652,0.478,0.97,2.31e-06,-5.427,0.889
5eJP2RRA8uCE377FBw9mk4,Liefde Voor Het Feest,OJKB,hardstyle,Energetic & Danceable,22,0.423,0.834,0.443,75.648,0.054,0.0444,0.121,0.000408,-6.064,2.508
2Q9Ntel8nLAYyATFH7fzLs,Carefree,Dan Gibson's Solitudes,new-age,Acoustic & Instrumental,22,0.249,0.107,0.0534,129.351,0.992,0.0379,0.688,0.896,-24.753,6.101
6kLtKcnSfpBy1D5SPpI9Bo,Exile On Wollmar Yxkullsgatan,Håkan Hellström,goth,Energetic & Danceable,22,0.396,0.869,0.811,157.7,0.124,0.0831,0.276,0.00103,-5.152,3.6
2XY5siNPzjooaJk7pxC0E4,En Las Calles De Liniers,Ricardo Iorio,heavy-metal,Energetic & Danceable,22,0.616,0.882,0.523,122.055,0.235,0.0439,0.179,0.0,-8.438,2.907
